"variable"	"raw.sample.size"	"n.languages"	"n.levels"	"source"	"set.fisher.p"	"set.CP.significant.residuals"	"set.Other.significant.residuals"	"mcmc.fisher.p"	"mcmc.CP.significant.residuals"	"mcmc.Other.significant.residuals"	"ml.fisher.p"	"ml.CP.significant.residuals"	"ml.Other.significant.residuals"	"problems"
"autotyp.wals$NADJ"	1107	1107	2	"WALS"	0.596691306314379	""	""	0.570113854673521	""	""	0.835697824975011	""	""	NA
"autotyp.wals$DRYPQP02"	467	467	4	"WALS"	0.661784663737188	""	""	0.702479334626846	""	""	0.598557069244008	""	""	NA
"autotyp.wals$SIEVPA02"	296	296	4	"WALS"	0.203187866798587	""	""	0.583794347907167	""	""	0.404108470497995	""	""	NA
"autotyp.wals$SIEZER"	379	379	6	"WALS"	0.51653116371375	""	""	0.897907357309533	""	""	0.897435897435897	""	""	NA
"autotyp.wals$SIEAPV2"	378	378	2	"WALS"	0.0819802214353515	"-without"	""	0.272969966629588	""	""	0.274304783092325	""	""	NA
"autotyp.wals$HASWAN02"	269	269	3	"WALS"	0.0255666753128578	""	"-desiderative strategy"	0.00720359261312035	""	"+implicit subject-desiderative strategy"	0.0361423702410259	""	""	NA
"autotyp.wals$HASWAN03"	269	269	2	"WALS"	0.00105876946736521	"+some desiderative"	"-some desiderative"	0.000581529231230618	"+some desiderative"	"-some desiderative"	0.00552719650020616	"+some desiderative"	"-some desiderative"	NA
"autotyp.wals$IGGNUM2"	260	260	8	"WALS"	0.789544795194241	""	""	NA	NA	NA	NA	NA	NA	"Indo-European stock:Unable to parse BayesTraits results; Sino-Tibetan stock:Unable to parse BayesTraits results"
"autotyp.wals$DRYCAS2"	595	595	2	"WALS"	0.473226624512715	""	""	1	""	""	0.571793937561718	""	""	NA
"autotyp.wals$DRYCAS"	933	933	9	"WALS"	0.737651064952336	""	""	NA	NA	NA	NA	NA	NA	"Oceanic sbranch:Unable to parse BayesTraits results; Nilotic stock:Unable to parse BayesTraits results"
"autotyp.wals$DRYCAST"	595	595	2	"WALS"	0.269461077844311	""	"+tonal"	NA	NA	NA	NA	NA	NA	"'x' must be an array of at least two dimensions"
"autotyp.wals$DRYCASB"	595	595	2	"WALS"	0.108948132522534	""	"+pf"	0.092338748064837	""	"+pf"	0.251158863066695	""	""	NA
"autotyp.wals$DRYDEF"	566	566	5	"WALS"	0.845342819843245	""	""	0.554937082542322	""	""	0.463800904977373	""	""	NA
"autotyp.wals$DRYDEF3"	566	566	2	"WALS"	0.431559637919705	""	""	0.776898254020647	""	""	1	""	""	NA
"autotyp.wals$DRYPRO2"	644	644	2	"WALS"	0.0345268396711797	""	"+oblig. S-pron."	0.117688401038264	""	""	0.0876987562506464	""	"+oblig. S-pron."	NA
"autotyp.wals$DRYSOV1"	1226	1226	3	"WALS"	0.0372002963072923	""	""	0.00941027059873395	""	"-mixed"	0.021710034761325	""	"-mixed"	NA
"autotyp.wals$DRYSOV2"	1226	1226	3	"WALS"	0.00831571735961072	""	"-mixed+medial"	0.0151069284662813	""	"-mixed+medial"	0.00635817066061155	""	"-mixed+medial"	NA
"autotyp.wals$DRYSOV3"	1226	1226	2	"WALS"	0.00196489825963019	"-other"	"-final_or_free+other"	0.00147960020770337	"-other"	"-final_or_free+other"	0.0509043910098483	""	"+other"	NA
"autotyp.wals$DRYSOV4"	1054	1054	2	"WALS"	0.019264274129722	""	"+non_final"	0.00908993231187013	""	"-final+non_final"	0.0160815000114081	""	"-final+non_final"	NA
"autotyp.wals$SIEALI"	379	379	6	"WALS"	0.674582710337702	""	""	0.942578021277192	""	""	1	""	""	NA
"autotyp.wals$SIEVPA2"	377	377	2	"WALS"	0.0819802214353515	""	""	0.0819802214353515	"-without"	""	0.274304783092325	""	""	NA
"autotyp.wals$DRYPRO3"	583	583	2	"WALS"	0.0432076472959577	""	"+OBLIGATORY"	0.0487726549178888	""	"+OBLIGATORY"	0.0422774815029037	""	"+OBLIGATORY"	NA
"autotyp.wals$SIEVPA3"	371	371	2	"WALS"	0.247017221041437	""	""	0.428569336204976	""	""	0.68065111535831	""	""	NA
"autotyp.wals$SIEVPA4"	371	371	2	"WALS"	0.296280676368994	""	""	0.153478395227494	""	""	0.339067828723001	""	""	NA
"autotyp.wals$AUWIMP2"	547	547	2	"WALS"	0.651356185378859	""	""	0.492693978367182	""	""	0.570066676762463	""	""	NA
"autotyp.wals$AUWPRH21"	495	495	2	"WALS"	0.143261357179078	""	""	0.220649351875197	""	""	0.181430781960816	""	""	NA
"autotyp.wals$BAKADP01"	314	314	2	"WALS"	1	""	""	1	""	""	1	""	""	NA
"autotyp.wals$CORSEX01"	256	256	2	"WALS"	0.11782660228663	""	""	0.11782660228663	""	""	0.203542561472891	""	""	NA
"autotyp.wals$DANPLU01"	250	250	6	"WALS"	0.732410437494831	""	""	0.591957152325033	""	""	0.953861927546126	""	""	NA
"autotyp.wals$DRYADP0"	992	992	3	"WALS"	0.0425005882343884	""	""	0.0664730023812245	""	"+prepositions"	0.183213484475213	""	""	NA
"autotyp.wals$DRYCAS0"	933	933	2	"WALS"	0.223150205374776	""	""	0.228205970313058	""	""	0.48484429783886	""	""	NA
"autotyp.wals$DRYCOQ0"	782	782	2	"WALS"	0.036108538395538	""	"-question particle obligatorily initial"	0.0319866113996549	""	"-question particle obligatorily initial"	0.034743827084267	""	"-question particle obligatorily initial"	NA
"autotyp.wals$DRYDEF1"	566	566	2	"WALS"	0.284628044210328	""	""	0.277213178000197	""	""	0.277213178000197	""	""	NA
"autotyp.wals$DRYDEG0"	381	381	2	"WALS"	1	""	""	1	""	""	1	""	""	NA
"autotyp.wals$DRYDEM0"	1011	1011	2	"WALS"	0.000356852339358696	"+DemN (word or prefix)-NDem (word or prefix)"	"-DemN (word or prefix)+NDem (word or prefix)"	0.000557322044343619	"-NDem (word or prefix)"	"-DemN (word or prefix)+NDem (word or prefix)"	0.00165981516035204	"-NDem (word or prefix)"	"-DemN (word or prefix)+NDem (word or prefix)"	NA
"autotyp.wals$DRYGEN0"	1020	1020	2	"WALS"	0.000234455305915402	"-Nnp"	"-npN+Nnp"	0.00022209519020921	"-Nnp"	"-npN+Nnp"	0.000138191081527984	"-Nnp"	"-npN+Nnp"	NA
"autotyp.wals$DRYIND2"	473	473	2	"WALS"	1	""	""	1	""	""	1	""	""	NA
"autotyp.wals$DRYNEG2"	1009	1009	2	"WALS"	0.28557390599422	""	""	0.0708573986050538	""	""	0.66577480889462	""	""	NA
"autotyp.wals$DRYNUM0"	944	944	2	"WALS"	0.59589931942937	""	""	0.851385110431387	""	""	0.848729312994586	""	""	NA
"autotyp.wals$DRYOSC0"	523	523	3	"WALS"	0.129845877606642	""	""	0.0623821166770636	""	""	0.346486174628938	""	""	NA
"autotyp.wals$DRYPOQ2"	840	840	2	"WALS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"'x' must be an array of at least two dimensions"
"autotyp.wals$DRYPOS0"	591	591	3	"WALS"	2.0560138940098e-06	"+possessive prefixes-possessive suffixes"	"-possessive prefixes+possessive suffixes-both possessive prefixes and suffixes"	2.17744968106938e-06	"+possessive prefixes-possessive suffixes"	"-possessive prefixes+possessive suffixes"	1.39860142670659e-05	"+possessive prefixes-possessive suffixes"	"-possessive prefixes+possessive suffixes"	NA
"autotyp.wals$DRYPQP01"	467	467	5	"WALS"	0.662639302534039	""	""	0.4877489681833	""	""	1	""	""	NA
"autotyp.wals$DRYPRE0"	770	770	3	"WALS"	0.155876033770405	""	""	0.234105730834525	""	""	0.440293151110953	""	""	NA
"autotyp.wals$DRYPRO0"	644	644	5	"WALS"	0.0788538926731373	""	""	0.143519276612704	""	""	0.0650382276259245	""	""	NA
"autotyp.wals$DRYREL0"	650	650	3	"WALS"	0.384710680670932	""	""	0.49482740732863	""	""	0.637805793681836	""	""	NA
"autotyp.wals$DRYSBV0"	1236	1236	2	"WALS"	0.28202698137579	""	""	0.327671957407527	""	""	0.300818514852522	""	""	NA
"autotyp.wals$DRYSOV0"	1054	1054	6	"WALS"	0.136143905886075	""	"+SVO"	0.0584732181253621	""	"+SVO"	0.0731380759273017	""	"+SVO"	NA
"autotyp.wals$DRYTAA2"	1059	1059	2	"WALS"	0.375578834009777	""	""	0.529013089244102	""	""	0.704681213541786	""	""	NA
"autotyp.wals$DRYXOV0"	296	296	5	"WALS"	0.182913984308949	""	""	0.466040495912934	""	""	0.517086117373691	""	""	NA
"autotyp.wals$GILCLF21"	399	399	2	"WALS"	0.816648507971781	""	""	1	""	""	0.785343789803821	""	""	NA
"autotyp.wals$GOEFIX0"	280	280	2	"WALS"	0.776542810960372	""	""	0.776542810960372	""	""	0.721053632255655	""	""	NA
"autotyp.wals$HAAEVD2"	416	416	2	"WALS"	0.063142627443459	""	"-some evidentials"	0.0337983127087845	""	"-some evidentials+no evidentials"	0.0268407891080856	""	"-some evidentials+no evidentials"	NA
"autotyp.wals$HASDIT0"	339	339	3	"WALS"	0.01920202198664	"+secondary object"	"-secondary object"	0.0116519568617508	"+secondary object"	"-secondary object"	0.0424227003034374	"+secondary object"	"-secondary object"	NA
"autotyp.wals$HASNPL0"	262	262	5	"WALS"	0.0224250415409567	""	"+Plural in all nouns, always obligatory"	0.382151029748287	""	""	0.185095090667844	""	""	NA
"autotyp.wals$IGGNUM0"	260	260	2	"WALS"	0.659540911565582	""	""	0.659540911565582	""	""	0.659540911565582	""	""	NA
